"ID_UC" "Código UC" "Informações Gerais" "Nome da UC" "Esfera Administrativa" "Categoria de Manejo" "Categoria IUCN" "UF" "Ano de Criação" "Ano do ato legal mais recente" "Ato Legal de Criação" "Outros atos legais" "Municípios Abrangidos" "Plano de Manejo" "Conselho Gestor" "Órgão Gestor" "Fonte da Área: (1 = SHP, 0 = Ato legal)" "Área soma biomas" "Área soma Biomas Continental" "Área Ato Legal de Criação" "Bioma Área (ha)" "Amazônia" "Caatinga" "Cerrado" "Mata Atlântica" "Pampa" "Pantanal" "Área Marinha" "Bioma declarado" "Grupo" "PI" "US" "Recortes (ha)" "Mar Territorial" "Município Costeiro" "Município Costeiro + Área Marinha" "Programa/Projeto" "Sítios do Patrimônio Mundial" "Sítios Ramsar" "Mosaico" "Reserva da Biosfera"
1045 "0000.00.1045" NA "RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DO JACU" "Federal" "Reserva Particular do Patrimônio Natural" "Category IV" "SP" 2001 2001 "Portaria 52/2001 de 23/04/2001" "Sem informação." "CARAGUATATUBA (SP)" "Sim" "Não" "INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE" 0 "2,0" "2,0" "1,6" NA 0 0 0 "2,0" 0 0 0 "Mata Atlântica" "Uso Sustentável" 0 1 NA 0 1 1 "" "" "" "" "RB - Mt Atlântica"
1047 "0000.00.1047" NA "RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO CURUCUTU" "Federal" "Reserva Particular do Patrimônio Natural" "Category IV" "SP" 1995 1995 "Portaria 102/95-N de 20/12/1995" "Sem informação." "SÃO PAULO (SP)" "Sim" "Não" "INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE" 1 "10,8" "10,8" "10,9" NA 0 0 0 "10,8" 0 0 0 "Mata Atlântica" "Uso Sustentável" 0 1 NA 0 0 0 "" "" "" "" "RB - Cinturão Verde da Cidade de São Paulo, RB - Mt Atlântica"
1049 "0000.00.1049" NA "RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MEANDROS II" "Federal" "Reserva Particular do Patrimônio Natural" "Category IV" "SP" 2001 2001 "Portaria 149/2001 de 24/10/2001" "Sem informação." "IBIÚNA (SP)" "Sim" "Não" "INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE" 0 "145,0" "145,0" "145,2" NA 0 0 0 "145,0" 0 0 0 "Mata Atlântica" "Uso Sustentável" 0 1 NA 0 0 0 "" "" "" "" "RB - Cinturão Verde da Cidade de São Paulo, RB - Mt Atlântica"
1050 "0000.00.1050" NA "RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA AMADEU BOTELHO" "Federal" "Reserva Particular do Patrimônio Natural" "Category IV" "SP" 2000 2000 "Portaria 19 de 27/03/2000" "Sem informação." "JAÚ (SP)" "Sim" "Não" "INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE" 1 "141,7" "141,7" "142,9" NA 0 0 0 "141,7" 0 0 0 "Mata Atlântica" "Uso Sustentável" 0 1 NA 0 0 0 "" "" "" "" ""
1051 "0000.00.1051" NA "RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE FLORESTAL SÃO MARCELO" "Federal" "Reserva Particular do Patrimônio Natural" "Category IV" "SP" 2002 2002 "Portaria 120 de 18/09/2002" "Sem informação." "MOGI MIRIM (SP)" "Sim" "Não" "INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE" 1 "185,8" "185,8" "187,1" NA 0 0 0 "185,8" 0 0 0 "Mata Atlântica" "Uso Sustentável" 0 1 NA 0 0 0 "" "" "" "" ""
1052 "0000.00.1052" NA "RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PITHON" "Federal" "Reserva Particular do Patrimônio Natural" "Category IV" "SP" 1997 1997 "Portaria 11 de 24/02/1997" "Sem informação." "ARAÇARIGUAMA (SP)" "Sim" "Não" "INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE" 1 "25,8" "25,8" "26,0" NA 0 0 0 "25,8" 0 0 0 "Mata Atlântica" "Uso Sustentável" 0 1 NA 0 0 0 "" "" "" "" "RB - Cinturão Verde da Cidade de São Paulo, RB - Mt Atlântica"
1054 "0000.00.1054" NA "RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SILVO AGRO-PASTORIL GONÇALVES" "Federal" "Reserva Particular do Patrimônio Natural" "Category IV" "SP" 1999 1999 "Portaria 102/19-N de 24/11/1999" "Sem informação." "TAPIRAÍ (SP)" "Sim" "Não" "INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE" 0 "61,0" "61,0" "60,9" NA 0 0 0 "61,0" 0 0 0 "Mata Atlântica" "Uso Sustentável" 0 1 NA 0 0 0 "" "" "" "" "RB - Mt Atlântica"
1055 "0000.00.1055" NA "RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLORESTA NEGRA, PARQUE NATURAL PARA ESTUDOS, PESQUISA E EDUCAÇÃO AMBIENTAL" "Federal" "Reserva Particular do Patrimônio Natural" "Category IV" "SP" 2001 2001 "Portaria 104 de 03/09/2001" "Sem informação." "ARAÇOIABA DA SERRA (SP)" "Sim" "Não" "INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE" 1 "6,9" "6,9" "7,0" NA 0 0 0 "6,9" 0 0 0 "Mata Atlântica" "Uso Sustentável" 0 1 NA 0 0 0 "" "" "" "" ""
1056 "0000.00.1056" NA "RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SAN MICHELE" "Federal" "Reserva Particular do Patrimônio Natural" "Category IV" "SP" 2001 2001 "Portaria 57 de 23/04/2001" "Sem informação." "SÃO JOSÉ DOS CAMPOS (SP)" "Sim" "Não" "INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE" 1 "40,7" "40,7" "41,0" NA 0 0 0 "40,7" 0 0 0 "Mata Atlântica" "Uso Sustentável" 0 1 NA 0 0 0 "" "" "" "" "RB - Mt Atlântica"
1058 "0000.00.1058" NA "RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA RELÓGIO QUEIMADO" "Federal" "Reserva Particular do Patrimônio Natural" "Category IV" "SP" 2002 2002 "Portaria 56 de 18/04/2002" "Sem informação." "CAFELÂNDIA (SP)" "Sim" "Não" "INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE" 0 "111,0" "111,0" "111,4" NA 0 0 0 "111,0" 0 0 0 "Mata Atlântica" "Uso Sustentável" 0 1 NA 0 0 0 "" "" "" "" ""
1060 "0000.00.1060" NA "RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MEANDROS III" "Federal" "Reserva Particular do Patrimônio Natural" "Category IV" "SP" 2001 2001 "Portaria 150 de 24/10/2001" "Sem informação." "IBIÚNA (SP)" "Sim" "Não" "INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE" 0 "73,0" "73,0" "72,6" NA 0 0 0 "73,0" 0 0 0 "Mata Atlântica" "Uso Sustentável" 0 1 NA 0 0 0 "" "" "" "" "RB - Cinturão Verde da Cidade de São Paulo, RB - Mt Atlântica"
1061 "0000.00.1061" NA "RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA HORII" "Federal" "Reserva Particular do Patrimônio Natural" "Category IV" "SP" 1999 1999 "Portaria 108/99-N de 10/12/1999" "Sem informação." "GUAPIARA (SP)" "Sim" "Não" "INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE" 0 "34,0" "34,0" "34,4" NA 0 0 0 "34,0" 0 0 0 "Mata Atlântica" "Uso Sustentável" 0 1 NA 0 0 0 "" "" "" "" "RB - Mt Atlântica"
1062 "0000.00.1062" NA "RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BELA AURORA" "Federal" "Reserva Particular do Patrimônio Natural" "Category IV" "SP" 1999 1999 "Portaria 62-N de 16/07/1999" "Sem informação." "CRUZEIRO (SP)" "Sim" "Não" "INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE" 0 "86,0" "86,0" "86,2" NA 0 0 0 "86,0" 0 0 0 "Mata Atlântica" "Uso Sustentável" 0 1 NA 0 0 0 "" "" "" "" ""
1063 "0000.00.1063" NA "RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA JATOBÁ" "Federal" "Reserva Particular do Patrimônio Natural" "Category IV" "SP" 2000 2000 "Portaria 105 de 27/12/2000" "Sem informação." "JAGUARIÚNA (SP)" "Sim" "Não" "INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE" 1 "26,5" "26,5" "26,7" NA 0 0 0 "26,5" 0 0 0 "Mata Atlântica" "Uso Sustentável" 0 1 NA 0 0 0 "" "" "" "" "RB - Mt Atlântica"
1064 "0000.00.1064" NA "RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CENTRO DE VIVÊNCIA COM A NATUREZA - CVN" "Federal" "Reserva Particular do Patrimônio Natural" "Category IV" "SP" 2001 2001 "Portaria 34 de 02/03/2001" "Sem informação." "ARAÇOIABA DA SERRA (SP)" "Sim" "Não" "INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE" 1 "28,2" "28,2" "28,4" NA 0 0 0 "28,2" 0 0 0 "Mata Atlântica" "Uso Sustentável" 0 1 NA 0 0 0 "" "" "" "" ""
1065 "0000.00.1065" NA "RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RIZZIERI" "Federal" "Reserva Particular do Patrimônio Natural" "Category IV" "SP" 2003 2003 "Portaria 5 de 06/02/2003" "Sem informação." "SÃO SEBASTIÃO (SP)" "Sim" "Não" "INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE" 0 "13,0" "13,0" "12,8" NA 0 0 0 "13,0" 0 0 0 "Mata Atlântica" "Uso Sustentável" 0 1 NA 0 1 1 "" "" "" "" "RB - Mt Atlântica"
1068 "0000.00.1068" NA "RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO RYAN" "Federal" "Reserva Particular do Patrimônio Natural" "Category IV" "SP" 1993 1993 "Portaria 112/93-N de 20/10/1993" "Sem informação." "ITAPEVI (SP)" "Sim" "Não" "INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE" 0 "19,0" "19,0" "19,5" NA 0 0 0 "19,0" 0 0 0 "Mata Atlântica" "Uso Sustentável" 0 1 NA 0 0 0 "" "" "" "" "RB - Cinturão Verde da Cidade de São Paulo"
