Nome da UC,Esfera Administrativa,Sigla Orgão Gestor,Situação,Categorias de Manejo,Código CNUC
FLORESTA ESTADUAL DO PASSA DOIS,Estadual,IAP,Ativo,Floresta,0000.41.0538
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BITURI,Estadual,CPRH,Ativo,Reserva Particular do Patrimônio Natural,0000.26.0969
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA TABATINGA,Estadual,CPRH,Ativo,Reserva Particular do Patrimônio Natural,0000.26.0974
FLORESTA ESTADUAL SÃO JUDAS TADEU,Estadual,IEF,Ativo,Floresta,0000.31.0895
PARQUE NATURAL MUNICIPAL AUGUSTO RUSCHI,Municipal,SEMA,Ativo,Parque,4807.51.4576
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA FORTE,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1393
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LEMKE,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2130
AREA DE PROTEÇÃO AMBIENTAL MIRACEMA,Municipal,SEMMAM,Ativo,Área de Proteção Ambiental,0300.33.1944
REFUGIO DE VIDA SILVESTRE DA VENTANIA,Municipal,SEMMAM,Ativo,Refúgio de Vida Silvestre,0300.33.1945
PARQUE NATURAL MUNICIPAL DE NOVA IGUAÇU,Municipal,SEMAM,Ativo,Parque,0350.33.1580
PARQUE NATURAL MUNICIPAL DAS LARANJEIRAS,Municipal,SEMAM CAXAMBU,Ativo,Parque,7806.31.4605
ÁREA DE PROTEÇÃO AMBIENTAL FAZENDA NOVA,Municipal,SMMARH,Ativo,Área de Proteção Ambiental,0760.52.3855
PARQUE NATURAL MUNICIPAL APIDO  PARU,Municipal,SEMMA,Ativo,Parque,7602.51.4610
PARQUE NATURAL MUNICIPAL DAS ARARAS,Municipal,SEMMA,Ativo,Parque,7602.51.4611
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA 01 E 02 (MARINHEIRO) E MATA 03 (PEDRA DA URÇA),Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2135
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA 01 (BOM JARDIM) E MATA 02,03 E 04 (TAPERA)",Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2134
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALTO DA BOA VISTA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1277
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO CARAGUATÁ III,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1090
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DUNAS DOURADAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3687
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JORGE LUIZ ORSI,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3670
PARQUE NATURAL MUNICIPAL MORRO DA MANTEIGUEIRA,Municipal,PMVV,Ativo,Parque,0520.32.2888
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÃO JOSÉ,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.27.4608
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SOS CAATINGA,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.27.4607
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MORRO DA TORRE,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.27.4606
PARQUE NATURAL MUNICIPAL DE NITERÓI,Municipal,SMARHS,Ativo,Parque,0330.33.3156
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RECANTO DO ARCO-ÍRIS (NOVO),Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4553
